timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537921877306057,2,-5,12,-1,-2,0,2,5
1537921877306057,-2,-3,-16,-2,-1,-1,-3,-3
1537921877310046,1,10,15,3,1,0,1,-2
1537921877310046,-2,-11,2,-3,-2,0,2,2
1537921877310046,-1,11,-15,-4,-1,0,-5,0
1537921877310046,-1,-23,-12,0,-2,0,-1,-5
1537921877311043,2,-26,10,2,1,-2,4,1
1537921877311043,-10,-8,6,13,-1,-2,0,-1
1537921877320020,-1,-9,26,9,4,1,-1,-3
1537921877320020,-1,2,-1,-5,-1,-1,2,1
1537921877332984,3,11,-30,-12,-5,0,-2,2
1537921877332984,2,-8,-30,-9,1,2,-4,-5
1537921877339966,-2,14,42,7,1,-1,1,-3
1537921877339966,-1,-5,-38,-4,0,0,2,3
1537921877347944,-3,-3,10,0,-2,-2,-4,-2
1537921877347944,1,9,2,-7,-3,-2,0,-1
1537921877362904,-1,6,-19,-6,-3,-1,0,-2
1537921877362904,0,13,22,5,0,3,-1,0
1537921877377864,-3,-7,2,1,1,-1,1,-1
1537921877377864,1,2,-1,-2,0,-1,-1,-1
1537921877417758,-1,22,7,2,0,0,0,-5
1537921877417758,-4,5,23,-6,-2,-3,3,2
1537921877421747,0,-24,4,11,1,-1,-3,0
1537921877421747,2,7,-78,-2,-2,-2,-1,-2
1537921877422745,-2,-55,19,-4,-3,1,0,0
1537921877422745,-2,2,-20,-2,5,1,1,1
1537921877423742,3,-25,-11,0,2,-2,-1,-5
1537921877423742,3,10,31,-1,7,0,-2,-2
1537921877427732,-8,-26,-23,-3,8,-3,0,0
1537921877427732,0,19,3,5,4,-1,-4,-3
1537921877436707,-2,5,11,-4,2,0,-1,-5
1537921877436707,1,13,5,-1,0,1,0,3
1537921877450670,3,5,-5,-12,-5,1,-6,-2
1537921877450670,-3,-24,14,18,-4,0,-2,-4
1537921877459646,2,20,7,3,-4,-1,3,4
1537921877459646,0,2,13,4,-4,0,-1,1
1537921877465630,-1,1,-6,-6,-2,-1,-2,-3
