timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537917735295779,0,0,-1,0,3,1,5,4
1537917735295779,-2,-1,0,2,8,11,3,2
1537917735300765,-8,-1,0,-1,1,-2,0,-12
1537917735300765,9,1,1,-1,5,-3,-5,8
1537917735303757,-2,-1,-1,-4,-9,-10,-6,-4
1537917735303757,-1,0,-1,1,3,-30,-1,3
1537917735303757,-2,-3,-4,-6,-14,0,1,-1
1537917735303757,-4,0,-1,0,4,14,3,-7
1537917735306750,0,0,-1,2,-1,15,-1,0
1537917735306750,0,-2,-1,-2,1,2,1,-2
1537917735317720,1,0,0,1,3,-14,-8,0
1537917735317720,-2,-1,-1,-2,0,-22,2,0
1537917735321709,0,-1,0,-2,-5,5,-3,2
1537917735321709,-4,-1,-1,-1,0,5,0,-5
1537917735337667,2,1,-1,-1,0,-5,1,1
1537917735337667,-2,0,-1,1,3,5,1,-1
1537917735346643,-1,0,1,0,6,2,1,-4
1537917735346643,-1,0,-1,-3,-5,0,-5,-1
1537917735368584,3,-1,1,0,-2,8,4,6
1537917735368584,-2,-1,-1,3,-4,1,-2,-1
1537917735369582,-1,0,-1,0,16,-3,-3,-1
1537917735369582,0,-2,-2,-5,-8,0,-2,-1
1537917735381550,0,-4,-1,1,11,6,1,0
1537917735381550,0,-2,-2,-5,-17,-7,-4,-2
1537917735423438,2,-1,-2,-7,-13,-6,-1,-2
1537917735423438,-2,-2,-2,-4,-2,7,0,0
1537917735423438,0,0,0,-5,4,2,-2,-1
1537917735423438,-1,1,3,4,14,2,0,-3
1537917735427427,-2,-2,-1,5,11,2,1,2
1537917735427427,0,0,0,2,-13,-38,1,3
1537917735427427,1,0,0,5,7,14,0,6
1537917735427427,1,-3,-6,-11,-4,8,-5,3
1537917735435405,-2,1,-1,1,-18,-6,0,8
1537917735435405,1,1,0,-3,3,14,-2,-2
1537917735441390,-1,0,0,1,3,-10,0,-2
1537917735441390,2,-1,-1,0,-14,-9,-9,0
1537917735458344,0,0,0,1,8,4,4,6
1537917735458344,-2,-3,-2,0,5,10,4,2
1537917735464328,-5,-3,0,1,-1,-1,2,-8
1537917735464328,-1,2,5,12,40,29,-1,-13
1537917735473305,-2,0,4,11,26,-59,-4,-8
1537917735473305,2,0,-1,-3,7,62,-3,0
1537917735495246,3,-3,0,5,45,77,-2,27
1537917735495246,-7,-1,1,-3,-62,-50,-8,-33
1537917735496243,1,0,2,14,69,65,9,0
1537917735496243,0,0,-2,-13,-47,-87,8,-8
1537917735518185,7,1,-9,-30,-101,17,11,39
1537917735518185,-14,-2,2,20,63,72,-2,4
1537917735519182,11,0,-6,-32,-107,-114,28,32
1537917735519182,0,3,7,29,83,-5,-39,-32
1537917735532147,0,-4,-10,-21,-57,42,1,-28
1537917735532147,-1,-2,-4,-24,-5,81,-28,77
1537917735539128,-4,5,10,31,34,-32,26,-25
1537917735539128,0,-4,-15,-46,-78,-5,17,-13
1537917735555086,-20,6,26,69,127,48,8,1
1537917735555086,22,12,7,13,-96,-57,19,-14
1537917735557080,-21,-21,-32,-69,16,-67,-35,-23
1537917735557080,7,-1,3,-1,29,32,9,25
1537917735578024,6,0,3,11,70,-29,-25,-20
1537917735578024,-7,-1,9,31,94,20,9,4
1537917735579022,-3,3,14,27,59,127,3,-27
1537917735579022,13,6,4,23,-43,-128,28,48
1537917735591987,-8,-9,-12,-35,-48,3,-12,-21
1537917735591987,7,-1,-1,3,65,-41,16,29
1537917735598968,10,2,-4,14,62,-17,-25,-6
1537917735598968,-22,-2,9,32,111,37,-9,-31
1537917735615924,-5,-7,-14,-38,-66,-72,-26,-31
1537917735615924,-8,-5,-12,-36,-93,-96,11,-28
1537917735616921,11,7,9,15,6,86,-1,36
1537917735616921,8,9,23,87,79,-110,3,15
1537917735637865,-6,-10,-16,-48,-52,60,-2,1
1537917735637865,2,-1,4,5,87,45,-6,-15
1537917735638862,-13,-5,-7,-28,-60,74,-17,-23
1537917735638862,4,-1,-7,-33,-96,-30,11,14
1537917735651827,15,14,25,70,110,17,26,13
1537917735651827,-7,-8,-16,-26,-36,-15,-52,-13
1537917735660803,-8,-7,-10,-32,-99,27,22,-11
1537917735660803,-6,-7,-7,-30,-35,66,5,-15
1537917735675763,5,4,1,7,20,29,8,17
1537917735675763,-3,-2,-3,-15,-33,-77,1,-32
1537917735676761,4,6,9,32,84,-8,-7,12
1537917735676761,-7,-4,-5,-7,-2,41,-37,-18
1537917735697704,4,3,-1,2,11,-25,70,29
1537917735697704,-1,1,3,25,80,127,16,11
1537917735699699,-4,-4,-2,-10,-35,-1,-20,-30
1537917735699699,-3,-2,-5,-15,-32,127,6,-6
1537917735711667,-5,-3,-5,-10,-73,-107,-29,-13
1537917735711667,5,2,-5,-14,-15,-18,12,14
1537917735720643,-7,-1,9,29,125,44,-3,-15
1537917735720643,-7,-12,-22,-70,-68,42,-16,8
1537917735735603,0,1,7,5,36,-65,-19,-5
1537917735735603,0,-2,-8,-28,-98,-77,0,-4
1537917735736601,-6,4,19,62,82,-60,-17,-17
1537917735736601,-11,-10,-23,-72,-53,5,-44,-19
1537917735757544,14,2,-3,-9,54,-128,34,43
1537917735757544,4,-2,1,16,70,97,-36,-51
1537917735759539,11,8,15,32,101,-47,29,59
1537917735759539,-4,-6,-15,-26,-65,-48,-22,-18
1537917735771507,-18,0,7,15,2,-10,-22,-31
1537917735771507,-1,2,1,1,20,-89,45,23
1537917735780483,21,0,-11,-22,-88,83,-5,19
1537917735780483,-1,7,25,78,127,89,12,-23
1537917735795443,47,-4,-15,-27,-84,23,-59,62
1537917735795443,-10,-7,-9,-24,-54,92,0,6
1537917735796441,-22,-6,-12,-34,-57,-128,12,-37
1537917735796441,17,4,0,2,-6,88,61,50
1537917735817384,-23,-1,8,35,127,35,-29,-22
1537917735817384,12,5,8,16,40,5,42,-7
1537917735819380,31,-2,-14,-33,-63,-94,-27,76
1537917735819380,-31,-7,-4,-35,-72,-13,-54,-30
1537917735831347,4,10,21,56,88,5,96,29
1537917735831347,-11,3,8,19,63,58,-41,-59
1537917735840323,14,2,-4,12,19,-86,-2,31
1537917735840323,9,2,6,30,127,-13,-16,38
1537917735855283,-13,-5,-14,-52,-119,-18,4,-10
1537917735855283,5,-2,-4,-3,13,27,-30,22
1537917735856281,-20,4,9,-9,1,3,-29,-52
1537917735856281,13,8,15,71,99,16,64,13
1537917735878222,-21,-6,2,8,109,49,19,-41
1537917735878222,0,-2,-4,-10,-14,-87,-25,6
1537917735879219,9,-5,-11,-22,-90,112,-6,11
1537917735879219,-17,-9,-14,-41,-92,-99,-29,-50
1537917735891187,-10,1,1,2,-8,24,17,-11
1537917735891187,2,8,17,43,16,-74,42,48
1537917735900163,-13,-10,-11,-17,-78,5,-47,-23
1537917735900163,-10,-1,-3,-7,0,14,39,-28
1537917735915123,-2,-2,3,-6,30,86,-30,-10
1537917735915123,0,-2,-4,-5,-70,-90,20,22
1537917735917118,24,-4,-15,-41,-24,69,-6,37
1537917735917118,8,4,14,50,22,70,5,27
1537917735938062,-11,0,7,23,31,-54,-55,-45
1537917735938062,3,-9,-20,-64,-98,20,4,-23
1537917735939059,-20,-4,0,-9,22,-9,55,-32
1537917735939059,-3,-1,0,-2,48,-8,-32,-31
1537917735951027,17,4,5,19,31,-17,40,52
1537917735951027,-17,-3,-2,-7,-81,-90,-28,-44
1537917735960003,9,2,6,25,111,-24,6,10
1537917735960003,-1,-7,-11,-19,-12,37,6,1
1537917735974963,-6,0,0,-1,-8,-85,-20,-9
1537917735974963,-2,-4,-7,-13,-44,-7,-5,19
1537917735976958,-14,5,15,37,111,25,14,-11
1537917735976958,-9,-3,-6,-15,-49,-98,-19,-38
1537917735997902,-2,-6,-6,-11,-41,12,-4,-1
1537917735997902,-9,-2,8,19,99,105,11,-20
1537917735998899,0,-2,-2,3,-56,-68,-6,-2
1537917735998899,9,2,0,1,26,9,3,3
1537917736011864,2,-3,-9,-22,-58,1,-19,-26
1537917736011864,-4,-2,0,5,54,58,-2,-3
1537917736019844,-8,1,2,11,6,20,11,-17
1537917736019844,5,-1,-1,-7,-30,30,-4,31
1537917736034803,1,-9,-19,-42,-91,-9,-19,3
1537917736034803,8,3,3,11,14,-10,8,58
1537917736036798,-3,0,0,-2,-30,0,2,3
1537917736036798,5,2,4,5,19,-34,-3,22
1537917736058739,5,1,-1,-4,0,37,-2,12
1537917736058739,-4,1,2,11,9,8,9,-5
1537917736059737,-3,-3,-5,-9,-34,9,-10,-20
1537917736059737,-11,0,1,2,12,-13,13,-15
1537917736071705,2,-1,0,-2,-20,17,-5,-14
1537917736071705,-1,-2,-1,-2,1,-19,6,-5
1537917736080681,-3,-4,-2,-3,-4,14,-2,-3
1537917736080681,-4,0,5,5,6,1,2,-4
1537917736095641,1,0,-2,0,-15,0,2,-3
1537917736095641,-2,-4,-1,0,2,6,-5,2
1537917736096638,3,2,2,0,2,18,1,7
1537917736096638,5,1,0,7,19,6,-1,3
1537917736117582,-2,0,-3,-5,-13,-3,-2,-1
1537917736117582,2,-3,-5,-7,1,3,-4,4
1537917736119577,-2,0,-2,-1,-2,14,0,-3
1537917736119577,5,-1,-4,-2,2,-20,9,19
1537917736131545,1,-1,1,2,-5,4,-4,-1
1537917736131545,-2,2,1,5,2,4,-12,-9
1537917736140521,0,1,1,-2,-4,5,4,-1
1537917736140521,5,-1,-5,-7,0,-9,-1,15
1537917736155481,-2,0,0,3,-1,7,2,9
1537917736155481,1,0,2,6,12,15,0,0
1537917736156478,-3,-1,-3,-7,-9,0,7,12
1537917736156478,5,-1,1,1,6,-5,-3,18
1537917736177422,-2,0,-2,-4,-3,3,2,-2
1537917736177422,-4,-1,2,2,-1,-5,-2,6
1537917736179417,1,-2,0,-3,-6,1,-4,3
1537917736179417,0,0,2,3,3,1,-2,-9
1537917736191385,-2,7,-3,-1,-6,-1,2,-18
1537917736191385,6,-8,0,2,4,0,-3,-15
1537917736200361,1,-9,-6,-5,-1,6,1,-10
1537917736200361,-3,-1,1,1,-1,-6,-5,-12
1537917736214324,-3,-4,-2,-4,-2,1,3,-15
